armenian,translations
Ա,ах;эх
ԱԲԱՍԱՆՈՑ,"двадцатикопеечный, ценою в двадцать копеек"
ԱԲԱՍԻ,двадцатикопеечная монета;двадцать копеек
ԱԲԲԱ,аббат
ԱԲԲԱՀԱՅՐ,аббат
ԱԲԲԱՅԱԿԱՆ,аббатский
ԱԲԲԱՅՈՒԹՅՈՒՆ,аббатство
ԱԲԵԹ,трут
ԱԲԵԹԱՍՈՒՆԿ,трутни
ԱԲԵԹԵՆԻ,трутни
ԱԲԵՂԱ,"иеромонах;монах, инок;аскет, монах"
ԱԲԵՂԱԽՈՏ,чистец
ԱԲԵՂԱՁԱԳ,хохлатый жаворонок
ԱԲԵՂԱՅԱԿԱՆ,"иеромонашеский;монашеский, иноческий;аскетический, монашеский"
ԱԲԵՂԱՅՈՒԹՅՈՒՆ,"монашество, иночество;устар;образ жизни монаха;инока;пребывание в монашестве, в монашеском;иноческом;чине;монахи;собират"
ԱԲԽԱԶ,абхазец
ԱԲԽԱԶԱԿԱՆ,абхазский
ԱԲԽԱԶԵՐԵՆ,"абхазский язык;абхазский;по-абхазски, на абхазском языке"
ԱԲՈՆԵՄԵՆՏ,абонемент
ԱԲՈՆԵՄԵՆՏԱՅԻՆ,абонементный
ԱԲՍՈԼՅՈՒՏԻԶՄ,"абсолютизм, абсолютная монархия"
ԱԲՍՏՐԱՀԵԼ,абстрагировать
ԱԲՍՏՐԱՀՈՒՄ,"абстрагирование, абстракция"
ԱԲՍՏՐԱՀՎԵԼ,абстрагироваться
ԱԲՐԱ,"тара, упаковка"
ԱԳԱՀ,"жадный, ненасытный, алчный;ненасытный, прожорливый, обжорливый;жадно, алчно;жадина, жадюга"
ԱԳԱՀ-ԱԳԱՀ,"жадно, с жадностью, алчно"
ԱԳԱՀԱԲԱՐ,"жадно, с жадностью, алчно;жадно, ненасытно"
ԱԳԱՀԱՆԱԼ,"становиться;более;жадным, жаднеть;разг"
ԱԳԱՀԱՏԵՆՉ,"алчный , ненасытный"
ԱԳԱՀՈՒԹՅՈՒՆ,"жадность, алчность;высок"
ԱԳԱՏ,"агат, полудрагоценный камень"
ԱԳԱՏԵ,агатовый
ԱԳԱՏՅԱ,агатовый
ԱԳԱՐԱԿ,хутор;ферма
ԱԳԱՐԱԿԱԲՆԱԿ,хуторянин
ԱԳԱՐԱԿԱՅԻՆ,"хуторской, хуторный;фермерский"
ԱԳԱՐԱԿԱՏԵՐ,хуторянин;фермер
ԱԳԱՐԱԿԱՏՆՏԵՍՈՒԹՅՈՒՆ,хуторское хозяйство;фермерское хозяйство
ԱԳԵՎԱԶ,кенгуру
ԱԳԵՓՈԿ,подхвостник
ԱԳԻՏԱՏՈՐ,агитатор
ԱԳԻՏԱՑԻԱ,агитация
ԱԳԻՏԱՑԻՈՆ,агитационный
ԱԳԻՏԿԵՏ,агитпункт
ԱԳԻՏՄԱՍՍԱՅԱԿԱՆ,агитмассовый
ԱԳՆՈՍՏԻՑԻԶՄ,агностицизм
ԱԳՈՒԳԱ,"акведук, водовод"
ԱԳՈՒՅՑ,"обруч, муфта;шпунт"
ԱԳՈՒՌ,бубны;бубновый туз
ԱԳՈՒՍՏ,ложе
ԱԳՈՒՑԱՆԵԼ,"вставлять, вставить"
ԱԳՈՒՑԵԼ,"вставлять, вставить"
ԱԳՈՒՑՈՒՄ,связывание
ԱԳՈՒՑՎԱԾՔ,"вид узла, способ связывания;связка"
ԱԳՈՒՑՎԵԼ,завязаться;узлом
ԱԳՌԱՎ,ворона;пики
ԱԳՌԱՎԱՁԱԳ,воронёнок
ԱԳՌԱՎԱՁԱՅՆ,каркающий
ԱԳՌԱՎԱՅԻՆ,воронки
ԱԳՌԱՎՈՒԿ,отмычка
ԱԳՐԱՐԱՅԻՆ,аграрный
ԱԳՐԵԳԱՏ,агрегат
ԱԳՐԵԳԱՏԱՅԻՆ,агрегатный
ԱԳՐԵՍԻԱ,агрессия
ԱԳՐԵՍԻՎ,агрессивный
ԱԳՐԵՍՈՐ,агрессор
ԱԳՐԽՈՏՈՒԿ,полевица
ԱԳՐՈԲԻՈԼՈԳԻԱ,агробиология
ԱԳՐՈԲԻՈԼՈԳԻԱԿԱՆ,агробиологический
ԱԳՐՈՄԻՋՈՑԱՌՈՒՄ,агромероприятие
ԱԳՐՈՆՈՄԻԱ,агрономия
ԱԳՐՈՆՈՄԻԱԿԱՆ,агрономический
ԱԳՐՈՏԵԽՆԻԿ,агротехник
ԱԳՐՈՏԵԽՆԻԿԱ,агротехника
ԱԳՐՈՏԵԽՆԻԿԱԿԱՆ,агротехнический
ԱԳՐՈՔԻՄԻԱ,агрохимия
ԱԳՐՈՔԻՄԻԱԿԱՆ,агрохимический
ԱԴԱԹ,"обычай, адат"
ԱԴԱՄԱԹԶԵՆԻ,"бананник, банан;растение"
ԱԴԱՄԱԹՈՒԶ,банан;плод
ԱԴԱՄԱԼՈՒՅՍ,"рассвет, заря"
ԱԴԱՄԱԽՆՁՈՐ,"адамово яблоко, кадык"
ԱԴԱՄԱՄԵՐԿ,"совершенно голый, в костюме адама"
ԱԴԱՄԱՄՈՒԹ,"предрассветная мгла;кромешная тьма, беспросветная тьма"
ԱԴԱՄԱՆԴ,"бриллиант, брильянт"
ԱԴԱՄԱՆԴԱԶԱՐԴ,"бриллиантовый, брильянтовый, украшенный бриллиантом"
ԱԴԱՄԱՆԴԱԿՈՒՌ,"бриллиантовый, брильянтовый"
ԱԴԱՄԱՆԴԱՇՈՂ,"сверкающий, как бриллиант"
ԱԴԱՄԱՆԴԱՓԱՅԼ,"сверкающий, как бриллиант"
ԱԴԱՄԱՆԴԵ,"бриллиантовый, брильянтовый"
ԱԴԱՄԱՆԴԵՂԵՆ,"бриллиантовые, брильянтовые украшения"
ԱԴՄԻՆԻՍՏՐԱՏՈՐ,администратор
ԱԴՐԲԵՋԱՆԱԿԱՆ,азербайджанский
ԱԴՐԲԵՋԱՆԵՐԵՆ,"азербайджанский язык;азербайджанский;по-азербайджански, на азербайджанском языке"
ԱԴՐԲԵՋԱՆՈՒՀԻ,азербайджанка
ԱԴՐԲԵՋԱՆՑԻ,азербайджанец
ԱԵՐՈԱԿՈՒՄԲ,аэроклуб
ԱԵՐՈԴԻՆԱՄԻԿԱ,аэродинамика
ԱԵՐՈԴԻՆԱՄԻԿԱԿԱՆ,аэродинамический
ԱԵՐՈԴՊՐՈՑ,аэрошкола
ԱԵՐՈՆԿԱՐԱՀԱՆՈՒՄ,аэросъёмка
ԱԵՐՈՍՏԱՏԻԿԱ,аэростатика
ԱԶԱԶԵԼ,"сушить, высушить, засушить"
ԱԶԱԶՈՒՆ,"жухлый;хилый, чахлый, щуплый, тщедушный"
ԱԶԱՏ,"свободный, вольный, независимый;просторный, привольный, вольный;свободный, просторный;незанятый, пустой, пустующий;незанятый, свободный от работы;вакантный, незамещённый;свободно, непринуждённо"
ԱԶԱՏԱԳԻՐ,вольноотпущенник
ԱԶԱՏԱԳՐԱԿԱՆ,освободительный
ԱԶԱՏԱԳՐԵԼ,"освобождать, освободить;эмансипировать"
ԱԶԱՏԱԳՐՈՒԹՅՈՒՆ,освобождение;эмансипация
ԱԶԱՏԱԳՐՈՒՄ,освобождение;эмансипация
ԱԶԱՏԱԳՐՎԵԼ,"освобождаться, освободиться;эмансипироваться"
ԱԶԱՏԱԶՈՒՐԿ,"порабощенный, лишённый свободы"
ԱԶԱՏԱԶՐԿԵԼ,лишать свободы
ԱԶԱՏԱԶՐԿՈՒԹՅՈՒՆ,лишение свободы
ԱԶԱՏԱԶՐԿՈՒՄ,лишение свободы
ԱԶԱՏԱԶՐԿՎԵԼ,лишаться свободы
ԱԶԱՏԱԽՈՍ,"говорящий свободно, смело"
ԱԶԱՏԱԾԻՆ,свободнорождённый
ԱԶԱՏԱԿԱՄ,добровольный
ԱԶԱՏԱԿԱՄՈՒԹՅՈՒՆ,добровольность
ԱԶԱՏԱՄԱՐՏ,борющийся за свободу;борьба за свободу
ԱԶԱՏԱՄԱՐՏԻԿ,борец за свободу
ԱԶԱՏԱՄԻՏ,"свободомыслящий, вольнодумный"
ԱԶԱՏԱՄՏՈՒԹՅՈՒՆ,"свободомыслие, вольнодумство , вольнодумие;либерализм"
ԱԶԱՏԱՆԻ,дворянин
ԱԶԱՏԱՇՈՒՆՉ,вольнолюбивый
ԱԶԱՏԱՍԵՐ,"свободолюбивый, вольнолюбивый"
ԱԶԱՏԱՍԻՐԱԿԱՆ,"свободолюбивый, вольнолюбивый"
ԱԶԱՏԱՍԻՐՈՒԹՅՈՒՆ,свободолюбие
ԱԶԱՏԱՍՊԱՆ,"душащий свободу, лишающий гражданской свободы"
ԱԶԱՏԱՎԱՐՁՈՒ,вольнонаёмный
ԱԶԱՏԱՎԵՏ,возвещающий свободу
ԱԶԱՏԱՏԵՆՉ,"свободолюбивый, жаждущий свободы"
ԱԶԱՏԱՐԱՐ,"освободительный;освободитель, спаситель, избавитель"
ԱԶԱՏԱՐՁԱԿ,"просторный, привольный, свободный"
ԱԶԱՏԵԼ,"освобождать, освободить;избавлять, избавить, спасать, спасти;отпускать, отпустить, освобождать, освободить;увольнять, уволить"
ԱԶԱՏՈՐԴ,"свободолюбивый;свободолюбец;сын дворянина, азата"
ԱԶԱՏՈՐԵՆ,"свободно, вольно"
ԱԶԱՏՈՒԹՅՈՒՆ,"свобода, независимость, воля;освобождение, спасение"
ԱԶԱՏՈՒՄ,"освобождение;спасение, избавление"
ԱԶԱՏՎԵԼ,"освобождаться, освободиться;избавляться, избавиться, освобождаться, освободиться;отделываться, отделаться, отвязаться;увольняться, уволиться"
ԱԶԱՏՎԵԼԻՔ,"средство спасения, выход"
ԱԶԱՐ,падёж
ԱԶԱՐԻՈՆ,"подорешник, асарон"
ԱԶԲ,нити основы
ԱԶԲԵՍՏ,асбест
ԱԶԳ,"нация;национальность;род, племя;родня;родственник;фамилия"
ԱԶԳԱԲԱՆՈՒԹՅՈՒՆ,"генеалогия, родословие;родословная"
ԱԶԳԱԲՆԱԿՉՈՒԹՅՈՒՆ,народонаселение
ԱԶԳԱԳՐԱԳԵՏ,этнограф
ԱԶԳԱԳՐԱԿԱՆ,этнографический
ԱԶԳԱԳՐՈՒԹՅՈՒՆ,этнография
ԱԶԳԱԴԱՎ,"предательский, изменнический"
ԱԶԳԱԴՐՈՒԺ,"предательский, изменнический"
ԱԶԳԱԽՆԱՄ,благотворительный
ԱԶԳԱԿԱՆ,родственник
ԱԶԳԱԿԱՆԱԲԱՐ,по-родственному
ԱԶԳԱԿԱՆԱԿԱՆ,родственный
ԱԶԳԱԿԱՆՈՒԹՅՈՒՆ,"родство;родня, родственники"
ԱԶԳԱԿԱՆՈՒՀԻ,родственница
ԱԶԳԱԿԱՌՈՒՅՑ,способствующий процветанию нации
ԱԶԳԱԿԻՑ,"родственный;соплеменник, сородич, родственник;родственный, имеющий единое происхождение"
ԱԶԳԱԿՈՐԾԱՆ,пагубный для нации
ԱԶԳԱԿՑԱԲԱՐ,по-родственному
ԱԶԳԱԿՑԱԿԱՆ,родственный
ԱԶԳԱԿՑՈՒԹՅՈՒՆ,родство;родство языков
ԱԶԳԱՀԱԼԱԾ,угнетательский
ԱԶԳԱՀԱՎԱՔ,"объединяющий, сплачивающий;нацию;направленный на консолидацию нации"
ԱԶԳԱՄԵՐԺ,"отрёкшийся от своего народа, отступнический"
ԱԶԳԱՄԵՐԺՈՒԹՅՈՒՆ,"отступничество, отречение от своего народа"
ԱԶԳԱՄԻՋՅԱՆ,межнациональный;междоусобный
ԱԶԳԱՅԻՆ,национальный
ԱԶԳԱՅՆԱԿԱՆ,националистический
ԱԶԳԱՅՆԱԿԱՆՈՒԹՅՈՒՆ,националистичность
ԱԶԳԱՅՆԱՄՈԼ,шовинист
ԱԶԳԱՅՆԱՄՈԼԱԿԱՆ,шовинистический
ԱԶԳԱՅՆԱՄՈԼՈՒԹՅՈՒՆ,шовинизм
ԱԶԳԱՅՆԱՆԱԼ,приобрести национальные черты;стать собственностью государства
ԱԶԳԱՅՆԱՑՆԵԼ,национализировать
ԱԶԳԱՅՆԱՑՈՒՄ,национализация
ԱԶԳԱՅՆԱՑՎԵԼ,национализироваться
ԱԶԳԱՅՆՈՐԵՆ,национально
ԱԶԳԱՆՈՒՆ,фамилия
ԱԶԳԱՆՎԱՆԱԿԻՑ,однофамилец
ԱԶԳԱՆՎԵՐ,преданный  народу
ԱԶԳԱՇԵՆ,содействующий процветанию нации
ԱԶԳԱՊԱՀՊԱՆՈՒԹՅՈՒՆ,сохранение нации
